Date,Forest,PlotNum,PlotID,Quadrant,Circle,Xcoord,Ycoord,Type,Tree,Seedling,TSID,Species,DBH,Height,Comments
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,19,,T19,American beech,13.5,,
27-Sep-17,Donnerville,2,2,Q1,,2.1,0.9,Tree,27,,T27,American beech,13.3,8,
27-Sep,Donnerville,2,2,Q1,,9.5,10,Tree,28,,T28,American beech,12,4.5,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,44,,T44,American beech,15.2,,1/2 DEAD
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,46,,T46,American beech,20.5,,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,51,,T51,American beech,15.7,,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,52,,T52,American beech,17.5,,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,53,,T53,American beech,24,,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,54,,T54,American beech,15.3,,
27-Sep-17,Donnerville,3,3,Q3,,,,Tree,74,,T74,American beech,16.3,,
27-Sep-17,Donnerville,3,3,Q4,,,,Tree,78,,T78,American beech,10.5,,
27-Sep-17,Donnerville,3,3,Q4,,,,Tree,79,,T79,American beech,13.4,,
27-Sep,Donnerville,2,2,Q1,,,,Tree,32,,T32,Basswood,52.7,,DEAD
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,13,,T13,Big toothed aspen,32.5,,
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,16,,T16,Big toothed aspen,36,,
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,18,,T18,Big toothed aspen,24,,
20-Sep-17,Donnerville,1,1,Q4,,,,Tree,20,,T20,Big toothed aspen,22,,
27-Sep-17,Donnerville,2,2,Q1,,9.5,8,Tree,35,,T35,Black cherry,35,16,
27-Sep,Donnerville,2,2,Q2,,,,Tree,40,,T40,Black cherry,23.7,11,
27-Sep,Donnerville,2,2,Q2,,0,15.2,Tree,41,,T41,Black cherry,26.4,14,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,43,,T43,Black cherry,12.5,,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,49,,T49,Black cherry,10.5,,
20-Sep-17,Donnerville,1,1,Q4,,,,Tree,23,,T23,Catscratch,10,,
27-Sep-17,Donnerville,3,3,Q4,,,,Tree,77,,T77,Catscratch,14.8,,
27-Sep,Donnerville,2,2,Q1,,5.6,1,Tree,31,,T31,Musclewood,15,4,
20-Sep-17,Donnerville,1,1,Q1,,0.2,6.6,Tree,5,,T5,Red maple,16.5,14.5,
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,14,,T14,Red maple,12.5,,
20-Sep-17,Donnerville,1,1,Q4,,,,Tree,22,,T22,Red maple,16.5,,
20-Sep-17,Donnerville,1,1,Q4,,,,Tree,25,,T25,Red maple,15.2,,
20-Sep-17,Donnerville,1,1,Q4,,,,Tree,26,,T26,Red maple,17.5,,
27-Sep,Donnerville,2,2,Q1,,,,Tree,29,,T29,Red maple,16.1,,DEAD
27-Sep,Donnerville,2,2,Q2,,8.1,0.6,Tree,37,,T37,Red maple,12.1,10,
27-Sep,Donnerville,2,2,Q2,,7.4,11.3,Tree,39,,T39,Red maple,19.5,12.6,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,45,,T45,Red maple,22.9,,
27-Sep-17,Donnerville,2,2,Q4,,,,Tree,61,,T61,Red maple,32,,
27-Sep-17,Donnerville,3,3,Q1,,0.5,8,Tree,63,,T63,Red maple,28.6,10.5,
27-Sep-17,Donnerville,3,3,Q2,,0,10,Tree,73,,T73,Red maple,19.6,14.1,
27-Sep,Donnerville,2,2,Q2,,,,Tree,38,,T38,Slippery elm,12.3,9,
20-Sep-17,Donnerville,1,1,Q1,,1.8,2,Tree,1,,T1,Sugar maple,24.5,14,
20-Sep-17,Donnerville,1,1,Q1,,4.2,2.3,Tree,2,,T2,Sugar maple,18.5,13.5,
20-Sep-17,Donnerville,1,1,Q1,,4.3,1.6,Tree,3,,T3,Sugar maple,14.5,12,
20-Sep-17,Donnerville,1,1,Q1,,6,3.6,Tree,4,,T4,Sugar maple,23,15,
20-Sep-17,Donnerville,1,1,Q1,,0.1,8.8,Tree,6,,T6,Sugar maple,16.3,13,
20-Sep-17,Donnerville,1,1,Q2,,5.4,7.3,Tree,7,,T7,Sugar maple,18.5,15.5,
20-Sep-17,Donnerville,1,1,Q2,,9.8,6.1,Tree,8,,T8,Sugar maple,12,10.5,
20-Sep-17,Donnerville,1,1,Q2,,0.1,9.2,Tree,9,,T9,Sugar maple,17,12.1,
20-Sep-17,Donnerville,1,1,Q2,,6.5,4.3,Tree,10,,T10,Sugar maple,74.5,16,
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,11,,T11,Sugar maple,22.5,,
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,12,,T12,Sugar maple,16,,
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,15,,T15,Sugar maple,15,,
20-Sep-17,Donnerville,1,1,Q3,,,,Tree,17,,T17,Sugar maple,12,,
20-Sep-17,Donnerville,1,1,Q4,,,,Tree,21,,T21,Sugar maple,13,,
20-Sep-17,Donnerville,1,1,Q4,,,,Tree,24,,T24,Sugar maple,27,,
27-Sep-17,Donnerville,2,2,Q1,,5,6,Tree,33,,T33,Sugar maple,66,20,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,50,,T50,Sugar maple,18.8,,
27-Sep-17,Donnerville,3,3,Q1,,8,5.5,Tree,64,,T64,Sugar maple,10,9.3,
27-Sep-17,Donnerville,3,3,Q1,,8,5.3,Tree,65,,T65,Sugar maple,13,9.3,
27-Sep-17,Donnerville,3,3,Q2,,8,2,Tree,69,,T69,Sugar maple,16.7,13,
27-Sep-17,Donnerville,3,3,Q2,,5,6,Tree,70,,T70,Sugar maple,11.2,8,
27-Sep-17,Donnerville,3,3,Q2,,1,6,Tree,72,,T72,Sugar maple,15.7,9,
27-Sep-17,Donnerville,3,3,Q4,,,,Tree,76,,T76,Sugar maple,32,,
27-Sep-17,Donnerville,3,3,Q1,,,,Tree,68,,T68,unknown,35,,DEAD
27-Sep-17,Donnerville,2,2,Q1,,4.3,3.2,Tree,30,,T30,Unknown1,11.5,7.7,
27-Sep,Donnerville,2,2,Q1,,7.5,1.2,Tree,34,,T34,Unknown1,12.5,3.5,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,47,,T47,Unknown1,12.7,,
27-Sep-17,Donnerville,2,2,Q3,,,,Tree,48,,T48,Unknown1,10.6,,
27-Sep-17,Donnerville,2,2,Q4,,,,Tree,55,,T55,Unknown1,11,,
27-Sep-17,Donnerville,2,2,Q4,,,,Tree,56,,T56,Unknown1,45.9,,
27-Sep-17,Donnerville,2,2,Q4,,,,Tree,57,,T57,Unknown1,14.6,,
27-Sep-17,Donnerville,2,2,Q4,,,,Tree,58,,T58,Unknown1,18,,
27-Sep-17,Donnerville,2,2,Q4,,,,Tree,59,,T59,Unknown1,10.1,,
27-Sep-17,Donnerville,2,2,Q4,,,,Tree,60,,T60,Unknown1,22.1,,
27-Sep-17,Donnerville,2,2,Q1,,9.8,1,Tree,36,,T36,White ash,22.5,11.8,
27-Sep,Donnerville,2,2,Q2,,,,Tree,42,,T42,White ash,12.2,8.5,
27-Sep-17,Donnerville,3,3,Q1,,1,6.5,Tree,62,,T62,Yellow birch,29.5,14,
27-Sep-17,Donnerville,3,3,Q1,,9,9,Tree,66,,T66,Yellow birch,23.5,10,DEAD
27-Sep-17,Donnerville,3,3,Q1,,7,10,Tree,67,,T67,Yellow birch,22,9.5,
27-Sep-17,Donnerville,3,3,Q2,,3,6,Tree,71,,T71,Yellow birch,32,14.3,
27-Sep-17,Donnerville,3,3,Q3,,,,Tree,75,,T75,Yellow birch,22.2,,
27-Sep-17,Donnerville,3,3,Q4,,,,Tree,80,,T80,Yellow birch,32,,
18-Oct-17,Peavine Swamp,1,7,Q1,,4.1,6.5,Tree,162,,T162,American beech,12.1,11.2,
18-Oct-17,Peavine Swamp,1,7,Q1,,3.2,6,Tree,163,,T163,American beech,11.4,9,
18-Oct-17,Peavine Swamp,1,7,Q2,,6.8,5.8,Tree,167,,T167,American beech,10.1,5.5,
18-Oct-17,Peavine Swamp,1,7,Q3,,,,Tree,170,,T170,American beech,10.6,,
18-Oct-17,Peavine Swamp,1,7,Q3,,,,Tree,172,,T172,American beech,17.3,,
18-Oct-17,Peavine Swamp,1,7,Q3,,,,Tree,173,,T173,American beech,19.2,,
18-Oct-17,Peavine Swamp,1,7,Q4,,,,Tree,174,,T174,American beech,16.8,,
18-Oct-17,Peavine Swamp,1,7,Q4,,,,Tree,176,,T176,American beech,14.8,,
18-Oct-17,Peavine Swamp,2,8,Q1,,8,7,Tree,184,,T184,American beech,11,11.5,
18-Oct-17,Peavine Swamp,2,8,Q2,,5,2,Tree,187,,T187,American beech,12.1,9.5,
25-Oct-17,Peavine Swamp,3,9,Q1,,7,9,Tree,206,,T206,American beech,19.7,10,
25-Oct-17,Peavine Swamp,3,9,Q1,,7,5,Tree,208,,T208,American beech,18.3,13,
25-Oct-17,Peavine Swamp,3,9,Q2,,8,3,Tree,214,,T214,American beech,16,11.5,
25-Oct-17,Peavine Swamp,3,9,Q4,,,,Tree,217,,T217,American beech,10.2,,
25-Oct-17,Peavine Swamp,3,9,Q4,,,,Tree,219,,T219,American beech,11.8,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,221,,T221,American beech,11.7,,
18-Oct-17,Peavine Swamp,2,8,Q2,,2,3,Tree,186,,T186,Gray birch,27.6,19,
18-Oct-17,Peavine Swamp,2,8,Q2,,4,7,Tree,188,,T188,Gray birch,24.8,16,
18-Oct-17,Peavine Swamp,1,7,Q3,,,,Tree,177,,T177,not recorded,50.9,,DEAD
18-Oct-17,Peavine Swamp,1,7,Q3,,,,Tree,178,,T178,not recorded,59.5,,DEAD; measured DBH at 1m off ground
18-Oct-17,Peavine Swamp,1,7,Q4,,,,Tree,179,,T179,not recorded,40.8,,DEAD 
18-Oct-17,Peavine Swamp,1,7,Q4,,,,Tree,180,,T180,not recorded,39.5,,DEAD
18-Oct-17,Peavine Swamp,1,7,Q4,,,,Tree,181,,T181,not recorded,10,,DEAD
18-Oct-17,Peavine Swamp,1,7,Q3,,,,Tree,171,,T171,Red elm,13,,Check species - American elm?
18-Oct-17,Peavine Swamp,1,7,Q1,,8.2,0.5,Tree,158,,T158,Red maple,36.6,14,
18-Oct-17,Peavine Swamp,1,7,Q1,,6.1,2.6,Tree,159,,T159,Red maple,12.4,9,
18-Oct-17,Peavine Swamp,1,7,Q1,,5.2,5.5,Tree,160,,T160,Red maple,38.4,13.5,
18-Oct-17,Peavine Swamp,1,7,Q1,,1.1,6.2,Tree,161,,T161,Red maple,25.9,11,
18-Oct-17,Peavine Swamp,1,7,Q1,,9.9,5.6,Tree,164,,T164,Red maple,32.7,13.8,
18-Oct-17,Peavine Swamp,1,7,Q2,,6,5.6,Tree,165,,T165,Red maple,13.3,7.2,
18-Oct-17,Peavine Swamp,1,7,Q2,,7,6,Tree,166,,T166,Red maple,29,14.5,
18-Oct-17,Peavine Swamp,1,7,Q2,,8.3,2.2,Tree,168,,T168,Red maple,17.9,9.1,
18-Oct-17,Peavine Swamp,2,8,Q4,,,,Tree,198,,T198,Red maple,31.4,,
18-Oct-17,Peavine Swamp,2,8,Q4,,,,Tree,201,,T201,Red maple,30.3,,
18-Oct-17,Peavine Swamp,2,8,Q4,,,,Tree,202,,T202,Red maple,26.6,,DEAD
25-Oct-17,Peavine Swamp,3,9,Q4,,,,Tree,215,,T215,Red maple,15.1,,
25-Oct-17,Peavine Swamp,3,9,Q4,,,,Tree,218,,T218,Red maple,32,,DEAD
25-Oct-17,Peavine Swamp,3,9,Q4,,,,Tree,220,,T220,Red maple,15.4,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,222,,T222,Red maple,11.3,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,223,,T223,Red maple,13.4,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,226,,T226,Red maple,25.9,,
18-Oct-17,Peavine Swamp,1,7,Q3,,,,Tree,169,,T169,Sugar maple,20.5,,
18-Oct-17,Peavine Swamp,1,7,Q4,,,,Tree,175,,T175,Sugar maple,18,,
18-Oct-17,Peavine Swamp,2,8,Q1,,4,3,Tree,182,,T182,Sugar maple,41.3,20,
18-Oct-17,Peavine Swamp,2,8,Q1,,5,3,Tree,183,,T183,Sugar maple,28.4,19,
18-Oct-17,Peavine Swamp,2,8,Q2,,1,3,Tree,185,,T185,Sugar maple,39.1,23,
18-Oct-17,Peavine Swamp,2,8,Q2,,3,6,Tree,189,,T189,Sugar maple,12,9,
18-Oct-17,Peavine Swamp,2,8,Q2,,9,9,Tree,190,,T190,Sugar maple,11.2,9.5,
18-Oct-17,Peavine Swamp,2,8,Q3,,,,Tree,192,,T192,Sugar maple,36.2,,
18-Oct-17,Peavine Swamp,2,8,Q3,,,,Tree,193,,T193,Sugar maple,16.8,,
18-Oct-17,Peavine Swamp,2,8,Q3,,,,Tree,194,,T194,Sugar maple,40.8,,
18-Oct-17,Peavine Swamp,2,8,Q3,,,,Tree,195,,T195,Sugar maple,40.3,,
18-Oct-17,Peavine Swamp,2,8,Q3,,,,Tree,196,,T196,Sugar maple,38,,
18-Oct-17,Peavine Swamp,2,8,Q4,,,,Tree,197,,T197,Sugar maple,12.2,,
18-Oct-17,Peavine Swamp,2,8,Q4,,,,Tree,199,,T199,Sugar maple,63.9,,DEAD
18-Oct-17,Peavine Swamp,2,8,Q4,,,,Tree,200,,T200,Sugar maple,28.7,,
25-Oct-17,Peavine Swamp,3,9,Q1,,2,8,Tree,203,,T203,Sugar maple,26.2,20,
25-Oct-17,Peavine Swamp,3,9,Q1,,3,9,Tree,204,,T204,Sugar maple,42.5,19.5,
25-Oct-17,Peavine Swamp,3,9,Q1,,2,10,Tree,205,,T205,Sugar maple,11.9,12,
25-Oct-17,Peavine Swamp,3,9,Q1,,7,9,Tree,207,,T207,Sugar maple,35,18.5,
25-Oct-17,Peavine Swamp,3,9,Q1,,9,1,Tree,209,,T209,Sugar maple,20.1,12.5,
25-Oct-17,Peavine Swamp,3,9,Q2,,4,1,Tree,210,,T210,Sugar maple,10.5,10.5,
25-Oct-17,Peavine Swamp,3,9,Q2,,4,5,Tree,211,,T211,Sugar maple,21.9,15,
25-Oct-17,Peavine Swamp,3,9,Q2,,7,7,Tree,213,,T213,Sugar maple,16.6,12,
25-Oct-17,Peavine Swamp,3,9,Q4,,,,Tree,216,,T216,Sugar maple,75.3,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,224,,T224,Sugar maple,27,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,225,,T225,Sugar maple,14,,
25-Oct-17,Peavine Swamp,3,9,Q3,,,,Tree,227,,T227,Sugar maple,10.9,,
25-Oct-17,Peavine Swamp,3,9,Q2,,5,6,Tree,212,,T212,Sugar maple,41,9.5,DEAD
18-Oct-17,Peavine Swamp,2,8,Q3,,,,Tree,191,,T191,Yellow birch,44.3,,DEAD
4-Oct-17,South Hammond,1,4,Q1,,5,10,Tree,87,,T87,Black cherry,15.5,11,
11-Oct-17,South Hammond,3,6,Q1,,3,9,Tree,117,,T117,Catscratch,10.5,8.5,
4-Oct-17,South Hammond,1,4,Q2,,2.3,3,Tree,134,,T134,Catscratch,14.3,8,
4-Oct-17,South Hammond,1,4,Q2,,4.5,0.5,Tree,135,,T135,Catscratch,12.3,9.1,
11-Oct-17,South Hammond,3,6,Q4,,,,Tree,133,,T133,Choke cherry,21.4,,
4-Oct-17,South Hammond,1,4,Q2,,6,2.5,Tree,137,,T137,Choke cherry,8,6,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,141,,T141,Choke cherry,10.1,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,154,,T154,Choke cherry,16,,
4-Oct-17,South Hammond,1,4,,,,,Tree,156,,T156,Choke cherry,15.5,,DEAD
4-Oct-17,South Hammond,2,5,Q1,,1,9,Tree,99,,T99,Quaking aspen,34.2,8.1,
4-Oct-17,South Hammond,2,5,Q1,,4,4,Tree,96,,T96,Red maple,10,9,
4-Oct-17,South Hammond,2,5,Q1,,4,9.6,Tree,98,,T98,Red maple,13.3,8,
4-Oct-17,South Hammond,2,5,Q1,,8,10,Tree,100,,T100,Red maple,31.9,8.5,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,106,,T106,Red maple,43.5,,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,86,,T86,Red oak,<10,4,
4-Oct-17,South Hammond,1,4,Q1,,6.5,5,Tree,89,,T89,Red oak,30.5,,
4-Oct-17,South Hammond,2,5,Q2,,5.3,4,Tree,102,,T102,Red oak,27.1,11,
4-Oct-17,South Hammond,2,5,Q2,,3.6,3.5,Tree,103,,T103,Red oak,11.5,6,
4-Oct-17,South Hammond,2,5,Q2,,7,5,Tree,104,,T104,Red oak,10.9,5,
4-Oct-17,South Hammond,2,5,Q2,,8.5,4.9,Tree,105,,T105,Red oak,20,9,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,107,,T107,Red oak,20,,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,108,,T108,Red oak,13.4,,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,109,,T109,Red oak,13.8,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,111,,T111,Red oak,17.5,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,112,,T112,Red oak,10.8,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,113,,T113,Red oak,11.5,,
4-Oct-17,South Hammond,2,5,Q4,,,,Tree,114,,T114,Red oak,15.2,,
11-Oct-17,South Hammond,3,6,Q2,,0.5,5,Tree,118,,T118,Red oak,36.5,20,
11-Oct-17,South Hammond,3,6,Q2,,4,4,Tree,119,,T119,Red oak,19.8,20,
11-Oct-17,South Hammond,3,6,Q2,,7,5,Tree,121,,T121,Red oak,16.2,18,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,124,,T124,Red oak,16.3,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,125,,T125,Red oak,12.5,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,126,,T126,Red oak,11,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,128,,T128,Red oak,33.7,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,129,,T129,Red oak,37.1,,
11-Oct-17,South Hammond,3,6,Q4,,,,Tree,132,,T132,Red oak,38.6,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,147,,T147,Red oak,25.4,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,150,,T150,Red oak,10,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,153,,T153,Red oak,27.3,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,123,,T123,Red pine,20.2,,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,127,,T127,Red pine,10.5,,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,85,,T85,Shagbark hickory,<10,4,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,88,,T88,Shagbark hickory,<10,4,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,145,,T145,Shagbark hickory,12.5,,
4-Oct-17,South Hammond,2,5,Q2,,1.5,1,Tree,101,,T101,White ash,13.3,12,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,122,,T122,White ash,23.9,,
4-Oct-17,South Hammond,1,4,,,,,Tree,157,,T157,White ash,15.7,,DEAD
4-Oct-17,South Hammond,1,4,Q1,,0,2,Tree,81,,T81,White oak,22,14.4,
4-Oct-17,South Hammond,1,4,Q1,,2,3,Tree,83,,T83,White oak,11,8,
4-Oct-17,South Hammond,1,4,Q1,,5.3,2,Tree,92,,T92,White oak,11,11,
4-Oct-17,South Hammond,2,5,Q3,,,,Tree,110,,T110,White oak,16.5,,
11-Oct-17,South Hammond,3,6,Q1,,3.8,3,Tree,115,,T115,White oak,14,15,
11-Oct-17,South Hammond,3,6,Q2,,6,1,Tree,120,,T120,White oak,13.5,17,
4-Oct-17,South Hammond,1,4,Q2,,5,5,Tree,138,,T138,White oak,47.2,13,
4-Oct-17,South Hammond,1,4,Q2,,8,7.2,Tree,139,,T139,White oak,34.3,11,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,142,,T142,White oak,17.7,,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,144,,T144,White oak,40.6,,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,146,,T146,White oak,17.3,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,151,,T151,White oak,22.8,,
4-Oct-17,South Hammond,1,4,Q1,,,,Tree,82,,T82,White pine,< 10,4,
4-Oct-17,South Hammond,1,4,Q1,,2.6,4.8,Tree,84,,T84,White pine,30,15.6,
4-Oct-17,South Hammond,1,4,Q1,,4,4,Tree,90,,T90,White pine,<10,6,
