Date,Forest,PlotNum,PlotID,Quadrant,Circle,Xcoord,Ycoord,Type,Tree,Seedling,TSID,Species,DBH,Height,Comments
4-Oct-17,South Hammond,1,4,Q1,,4,3,Tree,91,,T91,White pine,<10,5,
4-Oct-17,South Hammond,1,4,Q1,,6.5,2,Tree,93,,T93,White pine,11,9,
4-Oct-17,South Hammond,2,5,Q1,,1,2,Tree,94,,T94,White pine,16,12,
4-Oct-17,South Hammond,2,5,Q1,,1.5,3,Tree,95,,T95,White pine,14.1,11,
4-Oct-17,South Hammond,2,5,Q1,,6.6,4.2,Tree,97,,T97,White pine,47.1,17,
11-Oct-17,South Hammond,3,6,Q1,,7.7,6,Tree,116,,T116,White pine,12,6.5,
11-Oct-17,South Hammond,3,6,Q3,,,,Tree,130,,T130,White pine,18.7,,
11-Oct-17,South Hammond,3,6,Q4,,,,Tree,131,,T131,White pine,10.7,,
4-Oct-17,South Hammond,1,4,Q2,,7,1,Tree,136,,T136,White pine,7.6,7.5,
4-Oct-17,South Hammond,1,4,Q2,,9,1,Tree,140,,T140,White pine,18.9,8,
4-Oct-17,South Hammond,1,4,Q3,,,,Tree,143,,T143,White pine,19,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,148,,T148,White pine,12.5,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,149,,T149,White pine,10.5,,
4-Oct-17,South Hammond,1,4,Q4,,,,Tree,152,,T152,White pine,27.3,,
4-Oct-17,South Hammond,1,4,,,,,Tree,155,,T155,White pine,8.7,,DEAD
1-Nov-17,Degrasse,1,10,Q1,,1,1,Tree,156,,T156,Red pine,42.7,21.5,
1-Nov-17,Degrasse,1,10,Q1,,8,2,Tree,157,,T157,White pine,13.1,9,
1-Nov-17,Degrasse,1,10,Q1,,5,5,Tree,158,,T158,Red pine,38,20.5,
1-Nov-17,Degrasse,1,10,Q1,,4,7,Tree,159,,T159,White pine,13.8,10,
1-Nov-17,Degrasse,1,10,Q2,,5,4,Tree,160,,T160,Red pine,38,20,
1-Nov-17,Degrasse,1,10,Q2,,3,9,Tree,161,,T161,Red pine,37.8,21,
1-Nov-17,Degrasse,1,10,Q3,,,,Tree,162,,T162,Red maple,17.1,,
1-Nov-17,Degrasse,1,10,Q3,,,,Tree,163,,T163,Red pine,36.8,,
1-Nov-17,Degrasse,1,10,Q3,,,,Tree,164,,T164,Red pine,33.2,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,165,,T165,Red pine,34.4,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,166,,T166,Red pine,38.9,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,167,,T167,Red pine,34,,
1-Nov-17,Degrasse,1,10,Q4,,,,Tree,168,,T168,Red pine,36,,
1-Nov-17,Degrasse,2,11,Q1,,2,1,Tree,169,,T169,Red pine,40.8,18,
1-Nov-17,Degrasse,2,11,Q1,,4.1,4,Tree,170,,T170,Red pine,34.5,19,
1-Nov-17,Degrasse,2,11,Q1,,0.1,8.5,Tree,171,,T171,Red pine,42,20,
1-Nov-17,Degrasse,2,11,Q2,,1.5,10,Tree,172,,T172,Red pine,40.2,19,
1-Nov-17,Degrasse,2,11,Q2,,1.5,3,Tree,173,,T173,Red pine,35.5,21,
1-Nov-17,Degrasse,2,11,Q2,,5.4,3.9,Tree,174,,T174,Red pine,39.5,17,
1-Nov-17,Degrasse,2,11,Q2,,2.4,2.4,Tree,175,,T175,White pine,26.8,16,
1-Nov-17,Degrasse,2,11,Q2,,0.1,2.9,Tree,176,,T176,Red pine,37.7,21,
1-Nov-17,Degrasse,2,11,Q2,,1,8.5,Tree,177,,T177,Red pine,46.2,20,
1-Nov-17,Degrasse,2,11,Q3,,,,Tree,178,,T178,Red pine,29.5,,
1-Nov-17,Degrasse,2,11,Q3,,,,Tree,179,,T179,Red pine,39.7,,
1-Nov-17,Degrasse,2,11,Q3,,,,Tree,180,,T180,Red pine,40.8,,
1-Nov-17,Degrasse,2,11,Q4,,,,Tree,181,,T181,Red pine,35.9,,
1-Nov-17,Degrasse,2,11,Q4,,,,Tree,182,,T182,Red pine,54.9,,
1-Nov-17,Degrasse,2,11,Q4,,,,Tree,183,,T183,Red pine,22.1,,
1-Nov-17,Degrasse,3,12,Q1,,0.5,8.5,Tree,184,,T184,Red pine,33,17,
1-Nov-17,Degrasse,3,12,Q1,,8,8,Tree,185,,T185,Red pine,34,19,
1-Nov-17,Degrasse,3,12,Q1,,9,3,Tree,186,,T186,Red pine,43,17,
1-Nov-17,Degrasse,3,12,Q1,,9,3.5,Tree,187,,T187,White pine,16,11,
1-Nov-17,Degrasse,3,12,Q2,,1,1.5,Tree,188,,T188,Red pine,36,17.5,
1-Nov-17,Degrasse,3,12,Q2,,5.5,4,Tree,189,,T189,Red pine,43,16,
1-Nov-17,Degrasse,3,12,Q2,,3,5.5,Tree,190,,T190,Red pine,28,18.5,
1-Nov-17,Degrasse,3,12,Q3,,,,Tree,191,,T191,White pine,25,,
1-Nov-17,Degrasse,3,12,Q3,,,,Tree,192,,T192,Red pine,40.8,,
1-Nov-17,Degrasse,3,12,Q3,,,,Tree,193,,T193,Red pine,42.1,,
1-Nov-17,Degrasse,3,12,Q3,,,,Tree,194,,T194,Red spruce,16.6,,
1-Nov-17,Degrasse,3,12,Q3,,,,Tree,195,,T195,Red pine,37.8,,
1-Nov-17,Degrasse,3,12,Q4,,,,Tree,196,,T196,Red pine,36.8,,
1-Nov-17,Degrasse,3,12,Q4,,,,Tree,197,,T197,Red pine,43.5,,
20-Sep-17,Donnerville,1,1,Q2,Don1Q2,3.3,7,Seedling,,1,S1,Black cherry,3.4,3.2,
20-Sep-17,Donnerville,1,1,Q2,Don1Q2,3.3,7,Seedling,,2,S2,Choke cherry,2.3,2.1,
20-Sep-17,Donnerville,1,1,Q3,Don1Q3,4.4,3.7,Seedling,,3,S3,American beech,3.4,3.8,
20-Sep-17,Donnerville,1,1,Q3,Don1Q3,4.4,3.7,Seedling,,4,S4,Black cherry,1.3,2.2,
20-Sep-17,Donnerville,1,1,Q3,Don1Q3,4.4,3.7,Seedling,,5,S5,American beech,1.4,2.2,
20-Sep-17,Donnerville,1,1,Q3,Don1Q3,4.4,3.7,Seedling,,6,S6,Choke cherry,1.6,2.8,
20-Sep-17,Donnerville,1,1,Q4,Don1Q4,9.4,7.6,Seedling,,7,S7,Striped maple,2.7,3.3,
20-Sep-17,Donnerville,2,2,Q2,Don2Q2,4.1,8.2,Seedling,,8,S8,Black cherry,1.1,2,
20-Sep-17,Donnerville,2,2,Q2,Don2Q2,4.1,8.2,Seedling,,9,S9,Black cherry,2,4.1,
20-Sep-17,Donnerville,2,2,Q2,Don2Q2,4.1,8.2,Seedling,,10,S10,Black cherry,4,4.4,
20-Sep-17,Donnerville,2,2,Q2,Don2Q2,4.1,8.2,Seedling,,11,S11,Black cherry,2.7,4.3,
20-Sep-17,Donnerville,2,2,Q3,Don2Q3,5.6,1.3,Seedling,,12,S12,American beech,2,3.6,
20-Sep-17,Donnerville,2,2,Q3,Don2Q3,5.6,1.3,Seedling,,13,S13,American beech,1.8,2.3,
20-Sep-17,Donnerville,2,2,Q3,Don2Q3,5.6,1.3,Seedling,,14,S14,Black cherry,1.2,1.5,
20-Sep-17,Donnerville,2,2,Q3,Don2Q3,5.6,1.3,Seedling,,15,S15,American beech,1.1,1.9,
20-Sep-17,Donnerville,2,2,Q3,Don2Q3,5.6,1.3,Seedling,,16,S16,American beech,3,3.2,
20-Sep-17,Donnerville,2,2,Q4,Don2Q4,5.7,4.7,Seedling,,17,S17,Black cherry,1.3,1.7,
20-Sep-17,Donnerville,2,2,Q4,Don2Q4,5.7,4.7,Seedling,,18,S18,Black cherry,3.2,4.7,
20-Sep-17,Donnerville,2,2,Q4,Don2Q4,5.7,4.7,Seedling,,19,S19,Black cherry,2.4,4.7,
20-Sep-17,Donnerville,2,2,Q4,Don2Q4,5.7,4.7,Seedling,,20,S20,Black cherry,2.4,4.6,
27-Sep-17,Donnerville,3,3,Q2,Don3Q2,8.1,0.8,Seedling,,21,S21,American beech,2,0.6,
27-Sep-17,Donnerville,3,3,Q2,Don3Q2,8.1,0.8,Seedling,,22,S22,American beech,1.5,2.1,
27-Sep-17,Donnerville,3,3,Q3,Don3Q3,0.2,6.7,Seedling,,23,S23,Striped maple,0.1,0.4,
27-Sep-17,Donnerville,3,3,Q3,Don3Q3,0.2,6.7,Seedling,,24,S24,American beech,2,2,
27-Sep-17,Donnerville,3,3,Q3,Don3Q3,0.2,6.7,Seedling,,25,S25,American beech,1.5,0.7,
27-Sep-17,Donnerville,3,3,Q3,Don3Q3,0.2,6.7,Seedling,,26,S26,American beech,1,0.7,
27-Sep-17,Donnerville,3,3,Q4,Don3Q4,2,4.8,Seedling,,27,S27,Sugar maple,6,5,
4-Oct-17,South Hammond,1,4,Q2,SH1Q2,4,5,Seedling,,28,S28,Black cherry,4,5,
4-Oct-17,South Hammond,1,4,Q3,SH1Q3,6.7,1.6,Seedling,,29,S29,Red oak,3.4,5.5,
4-Oct-17,South Hammond,1,4,Q3,SH1Q3,6.7,1.6,Seedling,,30,S30,Choke cherry,3.9,7,
4-Oct-17,South Hammond,1,4,Q4,SH1Q4,5.1,2.7,Seedling,,31,S31,Red oak,4.3,7.5,
4-Oct-17,South Hammond,1,4,Q4,SH1Q4,5.1,2.7,Seedling,,32,S32,White oak,3.9,9.5,
4-Oct-17,South Hammond,2,5,Q2,SH2Q2,2.4,7.7,Seedling,,33,S33,Red oak,7.7,10.1,
4-Oct-17,South Hammond,2,5,Q2,SH2Q2,2.4,7.7,Seedling,,34,S34,Shagbark hickory,2.5,4.7,
4-Oct-17,South Hammond,2,5,Q4,SH2Q4,2,7.9,Seedling,,36,S36,Red oak,9.3,14,
4-Oct-17,South Hammond,2,5,Q4,SH2Q4,2,7.9,Seedling,,37,S37,White pine,2.7,3.5,
11-Oct-17,South Hammond,3,6,Q2,SH3Q2,8.5,2.1,Seedling,,38,S38,Red oak,5.3,4.5,
11-Oct-17,South Hammond,3,6,Q2,SH3Q2,8.5,2.1,Seedling,,39,S39,Choke cherry,5.5,3.5,
11-Oct-17,South Hammond,3,6,Q2,SH3Q2,8.5,2.1,Seedling,,40,S40,Choke cherry,0.7,0.7,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,41,S41,Choke cherry,7.8,4,DEAD
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,42,S42,Choke cherry,1,0.7,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,43,S43,Choke cherry,0.8,0.4,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,44,S44,Choke cherry,1,0.3,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,45,S45,Basswood,0.8,0.2,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,46,S46,Choke cherry,0.9,0.9,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,47,S47,Choke cherry,0.7,0.4,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,48,S48,Choke cherry,0.8,0.4,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,49,S49,White ash,0.5,0.2,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,50,S50,White ash,0.6,0.5,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,51,S51,White ash,0.8,0.4,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,52,S52,White ash,1,0.5,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,53,S53,White ash,0.8,0.9,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,54,S54,White oak,2,0.5,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,55,S55,Choke cherry,0.8,0.4,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,56,S56,Choke cherry,0.5,0.4,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,57,S57,Choke cherry,0.9,0.5,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,58,S58,White ash,0.9,0.5,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,59,S59,Red maple,0.5,0.5,
11-Oct-17,South Hammond,3,6,Q3,SH3Q3,8.9,7.5,Seedling,,60,S60,Red maple,0.2,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,61,S61,Sugar maple,7,5,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,62,S62,Sugar maple,0.9,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,63,S63,Sugar maple,0.8,0.5,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,64,S64,Sugar maple,0.5,0.4,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,65,S65,Sugar maple,0.5,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,66,S66,Sugar maple,0.4,0.2,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,67,S67,Sugar maple,0.5,0.2,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,68,S68,Sugar maple,0.5,0.4,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,69,S69,Sugar maple,0.7,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,70,S70,Sugar maple,0.9,0.4,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,71,S71,Sugar maple,0.7,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,72,S72,Choke cherry,0.7,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,73,S73,Sugar maple,0.7,0.4,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,74,S74,Sugar maple,0.9,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,75,S75,Red oak,0.9,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,76,S76,Sugar maple,0.8,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,77,S77,Sugar maple,0.8,0.5,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,78,S78,Sugar maple,0.8,0.5,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,79,S79,Sugar maple,0.8,0.4,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,80,S80,Choke cherry,0.8,0.3,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,81,S81,Choke cherry,0.8,0.9,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,82,S82,Big tooth aspen,0.8,0.2,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,83,S83,Choke cherry,0.3,0.2,
11-Oct-17,South Hammond,3,6,Q4,SH3Q4,2,8.1,Seedling,,84,S84,Choke cherry,0.7,0.3,
18-Oct-17,Peavine Swamp,1,7,Q2,P1Q2,7.4,1,Seedling,,85,S85,American beech,3,4.5,
18-Oct-17,Peavine Swamp,1,7,Q2,P1Q2,7.4,1,Seedling,,86,S86,American beech,4.1,4.7,
18-Oct-17,Peavine Swamp,1,7,Q2,P1Q2,7.4,1,Seedling,,87,S87,American beech,3.2,4.5,
18-Oct-17,Peavine Swamp,1,7,Q2,P1Q2,7.4,1,Seedling,,88,S88,Sugar maple,6.5,7.8,
18-Oct-17,Peavine Swamp,1,7,Q2,P1Q2,7.4,1,Seedling,,89,S89,American beech,2.2,3,
18-Oct-17,Peavine Swamp,1,7,Q2,P1Q2,7.4,1,Seedling,,90,S90,American beech,0.9,2,
18-Oct-17,Peavine Swamp,1,7,Q3,P1Q3,8.5,5.1,Seedling,,91,S91,American beech,1.3,2.5,
18-Oct-17,Peavine Swamp,1,7,Q3,P1Q3,8.5,5.1,Seedling,,92,S92,American beech,6.9,10,
18-Oct-17,Peavine Swamp,1,7,Q4,P1Q4,1.8,3.2,Seedling,,93,S93,American beech,8,7.5,
18-Oct-17,Peavine Swamp,1,7,Q4,P1Q4,1.8,3.2,Seedling,,94,S94,American beech,4.9,6,
18-Oct-17,Peavine Swamp,1,7,Q4,P1Q4,1.8,3.2,Seedling,,95,S95,American beech,3.1,5,
18-Oct-17,Peavine Swamp,1,7,Q4,P1Q4,1.8,3.2,Seedling,,96,S96,American beech,2.5,3,
18-Oct-17,Peavine Swamp,2,8,Q2,P2Q2,6.7,4.2,Seedling,,97,S97,American beech,6,15,
18-Oct-17,Peavine Swamp,2,8,Q2,P2Q2,6.7,4.2,Seedling,,98,S98,Sugar maple,3,10,
18-Oct-17,Peavine Swamp,2,8,Q2,P2Q2,6.7,4.2,Seedling,,99,S99,American beech,2,4,
18-Oct-17,Peavine Swamp,2,8,Q4,P2Q4,5.7,1,Seedling,,101,S101,American beech,1.5,3,
18-Oct-17,Peavine Swamp,2,8,Q4,P2Q4,5.7,1,Seedling,,102,S102,American beech,2.3,3.5,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,103,S103,American beech,4,5,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,104,S104,American beech,0.5,1.8,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,105,S105,American beech,0.5,2,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,106,S106,American beech,0.5,2,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,107,S107,American beech,0.5,2.3,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,108,S108,American beech,2,4,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,109,S109,American beech,1.5,3,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,110,S110,American beech,4.5,7,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,111,S111,American beech,3,3.5,
25-Oct-17,Peavine Swamp,3,9,Q2,P3Q2,6.3,2.5,Seedling,,112,S112,American beech,2.5,5,
25-Oct-17,Peavine Swamp,3,9,Q3,P3Q3,8.6,8.1,Seedling,,113,S113,American beech,3,4.5,
25-Oct-17,Peavine Swamp,3,9,Q3,P3Q3,8.6,8.1,Seedling,,114,S114,American beech,5,5,
25-Oct-17,Peavine Swamp,3,9,Q3,P3Q3,8.6,8.1,Seedling,,115,S115,American beech,3.5,5,
25-Oct-17,Peavine Swamp,3,9,Q3,P3Q3,8.6,8.1,Seedling,,116,S116,American beech,7.5,13,
25-Oct-17,Peavine Swamp,3,9,Q4,P3Q4,4.4,8.7,Seedling,,117,S117,American beech,1,1,
25-Oct-17,Peavine Swamp,3,9,Q4,P3Q4,4.4,8.7,Seedling,,118,S118,American beech,2.5,4,
25-Oct-17,Peavine Swamp,3,9,Q4,P3Q4,4.4,8.7,Seedling,,119,S119,American beech,0.8,1.9,
25-Oct-17,Peavine Swamp,3,9,Q4,P3Q4,4.4,8.7,Seedling,,120,S120,Yellow birch,3,4,
1-Nov-17,Degrasse,1,10,Q2,P1Q2,4.5,2.2,Seedling,,121,S121,White pine,6.5,5.2,
1-Nov-17,Degrasse,1,10,Q4,P1Q4,9.6,3.3,Seedling,,123,S123,White pine,1,2,
1-Nov-17,Degrasse,2,11,Q2,P2Q2,7.4,9.5,Seedling,,124,S124,Red pine,0.3,0.2,
1-Nov-17,Degrasse,2,11,Q2,P2Q2,7.4,9.5,Seedling,,125,S125,Red pine,0.3,0.2,
1-Nov-17,Degrasse,2,11,Q2,P2Q2,7.4,9.5,Seedling,,126,S126,Red pine,0.5,0.2,
1-Nov-17,Degrasse,2,11,Q2,P2Q2,7.4,9.5,Seedling,,127,S127,Red pine,0.3,0.2,
1-Nov-17,Degrasse,2,11,Q2,P2Q2,7.4,9.5,Seedling,,128,S128,Red pine,0.7,0.3,
1-Nov-17,Degrasse,2,11,Q3,P2Q3,5.2,7.4,Seedling,,129,S129,Red maple,2.1,0.1,
1-Nov-17,Degrasse,2,11,Q3,P2Q3,5.2,7.4,Seedling,,130,S130,Red pine,1.5,1.6,
1-Nov-17,Degrasse,2,11,Q4,P2Q4,2.5,5.8,Seedling,,131,S131,Red pine,0.2,0.2,
1-Nov-17,Degrasse,2,11,Q4,P2Q4,2.5,5.8,Seedling,,132,S132,Red pine,1.1,1,
1-Nov-17,Degrasse,2,11,Q4,P2Q4,2.5,5.8,Seedling,,133,S133,Red pine,0.3,0.2,
1-Nov-17,Degrasse,2,11,Q4,P2Q4,2.5,5.8,Seedling,,134,S134,Red pine,0.3,0.2,
1-Nov-17,Degrasse,2,11,Q4,P2Q4,2.5,5.8,Seedling,,135,S135,Red pine,0.2,0.2,
1-Nov-17,Degrasse,2,11,Q4,P2Q4,2.5,5.8,Seedling,,136,S136,Red pine,0.3,0.2,
1-Nov-17,Degrasse,2,11,Q4,P2Q4,2.5,5.8,Seedling,,137,S137,Red pine,0.3,0.2,
1-Nov-17,Degrasse,3,12,Q4,P3Q4,2.6,3.9,Seedling,,140,S140,White pine,1,1.2,